Country,Maternal_mortality_ratio
Belarus,1.0820116
Poland,1.8895258
Norway,1.9422734
Israel,2.6269557
Seychelles,3.0731246
North Macedonia,3.0859964
Iceland,3.1229384
Spain,3.1676915
Czechia,3.3352423
Slovenia,3.467772
Netherlands,3.9408796
Malta,4.0504026
Japan,4.248915
Germany,4.44996
Denmark,4.5194545
Sweden,4.5291615
Croatia,4.5328746
Belgium,4.603336
Italy,4.723681
Slovakia,4.856402
Turkmenistan,4.915799
Estonia,5.065453
Australia,5.085507
Albania,5.305023
Bosnia and Herzegovina,5.3941045
Austria,5.495701
Ireland,5.523205
Montenegro,5.816906
Greece,5.9618406
Singapore,6.2473087
South Korea,6.3600454
Luxembourg,6.41366
Qatar,6.517425
Europe,6.618043
Bulgaria,6.7299147
Switzerland,7.1045384
New Zealand,7.2196164
Kuwait,7.340056
Lithuania,7.35745
Russia,7.4531126
France,7.731595
Finland,8.533533
United Kingdom,9.223602
Ukraine,9.261322
United Arab Emirates,9.432062
Romania,10.35986
Serbia,10.47125
Canada,11.156275
Portugal,11.334371
High-income countries,11.728882
Moldova,12.095168
Kazakhstan,14.016989
Hungary,14.107047
Bahrain,14.503957
Chile,14.600064
Oman,15.588759
Tajikistan,16.367348
Turkey,17.008928
Saudi Arabia,17.68222
Egypt,17.765667
Costa Rica,18.696135
Antigua and Barbuda,18.913202
Lebanon,19.592762
United States,19.852346
Uruguay,20.070677
Palestine,20.220203
China,20.3975
Grenada,20.484573
Iran,20.87619
Puerto Rico,20.94646
Malaysia,21.580317
Latvia,21.80957
Armenia,24.938004
Trinidad and Tobago,26.345713
Georgia,26.467445
Azerbaijan,26.869574
Thailand,28.839975
Sri Lanka,29.820972
Uzbekistan,29.838999
Argentina,32.602604
Syria,33.044685
Fiji,38.160645
El Salvador,38.85559
Mongolia,39.707394
Tunisia,39.81871
Cuba,40.29785
Upper-middle-income countries,40.466396
Jordan,41.291813
Cape Verde,42.0967
Brunei,44.99773
Barbados,46.623375
Kyrgyzstan,47.4402
Mauritius,49.055176
Maldives,50.324753
Vietnam,50.43643
North America,50.507263
Panama,50.99978
Mexico,57.969803
Brazil,60.735165
Bhutan,61.609154
Cyprus,63.814064
Micronesia (country),65.169334
Colombia,65.44107
Saint Vincent and the Grenadines,65.47133
Samoa,66.35197
Honduras,66.638214
Paraguay,69.88435
Peru,71.99521
Saint Lucia,72.0371
South America,72.358894
Libya,72.49055
Iraq,72.77916
Ecuador,73.79165
Nicaragua,75.08457
Morocco,76.35814
Algeria,76.71434
Philippines,80.726776
Oceania,80.8038
Bahamas,82.026985
Belize,86.01262
Vanuatu,92.777275
Jamaica,93.04639
Suriname,100.03647
Guatemala,100.29056
Dominican Republic,102.90619
Asia,104.205414
North Korea,106.15473
Kiribati,108.22569
Guyana,109.76433
India,116.38938
Botswana,117.87683
South Africa,118.2704
Tonga,125.40065
Solomon Islands,127.18191
Zambia,128.84006
Sao Tome and Principe,142.41254
Mozambique,149.91914
Laos,153.34427
Bangladesh,157.16107
Indonesia,158.17068
Bolivia,175.75273
Venezuela,176.52684
Pakistan,179.2679
Yemen,181.33215
Nepal,182.3197
Papua New Guinea,189.81688
Myanmar,212.97035
Cambodia,214.1864
World,214.92526
Equatorial Guinea,216.35484
Namibia,222.95572
East Timor,223.53696
Gabon,225.47478
Angola,227.68697
Eswatini,227.99457
Comoros,236.59631
Ghana,243.84125
Djibouti,244.09666
Senegal,257.61148
Lower-middle-income countries,261.20193
Tanzania,261.8509
Rwanda,281.31085
Burkina Faso,283.25668
Uganda,291.6417
Congo,292.1209
Ethiopia,294.02185
Sudan,297.98605
Eritrea,331.53104
Haiti,348.66592
Malawi,370.2439
Zimbabwe,393.1763
Madagascar,397.63773
Niger,409.6483
Low-income countries,410.41202
Togo,418.26276
Mali,428.26315
Mauritania,431.10107
Sierra Leone,435.23587
Cameroon,439.76755
Gambia,474.3544
Africa,478.50125
Burundi,479.29013
Cote d'Ivoire,482.8607
Kenya,502.91656
Benin,521.86676
Democratic Republic of Congo,540.7023
Guinea,555.54395
Somalia,606.238
Lesotho,628.86487
Afghanistan,644.2726
Liberia,667.96204
Guinea-Bissau,709.50775
Central African Republic,847.2854
Chad,1047.2969
Nigeria,1122.1133
South Sudan,1245.1707
