country,Public_health_spending
Algeria,60
Angola,45
Benin,12
Botswana,71
Burkina Faso,42
Burundi,25
Cabo Verde,63
Cameroon,11
Central African Republic,11
Chad,15
Comoros,16
Congo,44
Côte d'Ivoire,30
Democratic Republic of the Congo,16
Equatorial Guinea,20
Eritrea,16
Eswatini,52
Ethiopia,23
Gabon,60
Gambia,41
Ghana,61
Guinea,23
Guinea-Bissau,6
Kenya,46
Lesotho,31
Liberia,16
Madagascar,22
Malawi,24
Mali,29
Mauritania,36
Mauritius,44
Mozambique,23
Namibia,43
Niger,36
Nigeria,16
Rwanda,40
Sao Tome and Principe,41
Senegal,24
Seychelles,73
Sierra Leone,14
South Africa,58
South Sudan,11
Togo,15
Uganda,15
United Republic of Tanzania,41
Zambia,33
Zimbabwe,14
Antigua and Barbuda,58
Argentina,61
Bahamas,52
Barbados,45
Belize,69
Bolivia (Plurinational State of),71
Brazil,41
Canada,70
Chile,51
Colombia,70
Costa Rica,73
Cuba,89
Dominica,64
Dominican Republic,61
Ecuador,63
El Salvador,54
Grenada,41
Guatemala,38
Guyana,59
Haiti,10
Honduras,39
Jamaica,65
Mexico,49
Nicaragua,62
Panama,57
Paraguay,46
Peru,63
Saint Kitts and Nevis,49
Saint Lucia,50
Saint Vincent and the Grenadines,67
Suriname,71
Trinidad and Tobago,46
United States of America,52
Uruguay,67
Venezuela (Bolivarian Republic of),37
Afghanistan,3
Bahrain,58
Djibouti,53
Egypt,28
Iran (Islamic Republic of),44
Iraq,49
Jordan,43
Kuwait,88
Lebanon,49
Libya,71
Morocco,41
"occupied Palestinian territory, including east Jerusalem",40
Oman,88
Pakistan,33
Qatar,85
Saudi Arabia,74
Somalia,5
Sudan,23
Syrian Arab Republic,53
Tunisia,59
United Arab Emirates,51
Yemen,8
Albania,43
Andorra,71
Armenia,12
Austria,75
Azerbaijan,26
Belarus,70
Belgium,75
Bosnia and Herzegovina,69
Bulgaria,59
Croatia,82
Cyprus,54
Czechia,85
Denmark,84
Estonia,74
Finland,80
France,75
Georgia,41
Germany,77
Greece,49
Hungary,68
Iceland,83
Ireland,74
Israel,65
Italy,74
Kazakhstan,60
Kyrgyzstan,51
Latvia,60
Lithuania,65
Luxembourg,86
Malta,63
Monaco,86
Montenegro,61
Netherlands (Kingdom of the),66
North Macedonia,60
Norway,86
Poland,71
Portugal,61
Republic of Moldova,60
Romania,80
Russian Federation,61
San Marino,89
Serbia,58
Slovakia,79
Slovenia,72
Spain,71
Sweden,85
Switzerland,34
Tajikistan,27
Türkiye,78
Turkmenistan,18
Ukraine,45
United Kingdom of Great Britain and Northern Ireland,80
Uzbekistan,42
Bangladesh,20
Bhutan,74
India,35
Indonesia,49
Maldives,78
Myanmar,16
Nepal,25
Sri Lanka,47
Thailand,72
Timor-Leste,58
Australia,74
Brunei Darussalam,94
Cambodia,24
China,56
Cook Islands,93
Fiji,62
Japan,84
Kiribati,91
Lao People's Democratic Republic,37
Malaysia,52
Marshall Islands,44
Micronesia (Federated States of),15
Mongolia,47
Nauru,89
New Zealand,76
Niue,73
Palau,47
Papua New Guinea,58
Philippines,41
Republic of Korea,58
Samoa,77
Singapore,52
Solomon Islands,73
Tonga,53
Tuvalu,78
Vanuatu,54
Viet Nam,41
